scenario,regularization,split,epoch,n_seeds,ground_truth_rmse,ground_truth_rmse_se
facemed,none,test,200,2,0.149107,0.002407
facemed,time_dependent,test,200,2,0.163179,0.005156
facemed,constant,test,200,2,0.154985,0.004965
